iso3c,year,life_expect,birth_rate,neonat_mortal_rate
AUT,2000,78.1268292682927,9.8,3.1
AUT,1995,76.6682926829268,11.2,3.5
AUT,2001,78.5756097560976,9.4,3.1
AUT,2015,NA,NA,2.1
AUT,1999,77.8756097560976,9.8,3.1
AUT,2013,81.1365853658537,9.4,2.3
AUT,2008,80.4317073170732,9.3,2.6
AUT,1998,77.6707317073171,10.2,3.2
AUT,2012,80.9365853658537,9.4,2.4
AUT,1996,76.8707317073171,11.2,3.4
AUT,2009,80.3317073170732,9.2,2.6
AUT,1997,77.319512195122,10.5,3.2
AUS,2008,81.3951219512195,14,3
AUS,1991,77.2756097560976,14.9,4.4
AUS,2009,81.5439024390244,13.9,2.9
AUS,2007,81.2926829268293,14.1,3.1
AUS,1995,77.8292682926829,14.2,3.7
AUS,1992,77.3780487804878,15.1,4.2
AUS,1993,77.8780487804878,14.7,4
AUS,1997,78.4804878048781,13.6,3.6
AUS,2014,82.2512195121951,12.9,2.3
AUS,1996,78.0780487804878,13.9,3.7
AUS,2006,81.0414634146342,12.9,3.2
AUS,2000,79.2341463414634,13,3.5
AUS,1998,78.6317073170732,13.3,3.6
AUS,1990,76.9946341463415,15.4,4.6
AUS,1994,77.8780487804878,14.5,3.9
AUS,2013,82.1487804878049,13.3,2.4
AUS,2011,81.8951219512195,13.6,2.6
AUS,2010,81.6951219512195,13.7,2.8
AUS,2003,80.2390243902439,12.6,3.4
AUS,1999,78.9317073170732,13.1,3.5
AUS,2002,79.9365853658537,12.8,3.4
AUS,2012,82.0463414634146,13.7,2.5
AUS,2015,NA,NA,2.2
AUS,2004,80.490243902439,12.3,3.3
AUS,2001,79.6341463414634,12.7,3.5
AUS,2005,80.8414634146341,12.8,3.3
ABW,1990,73.3899756097561,19.571,NA
ABW,1992,73.471756097561,18.446,NA
ABW,1994,73.535756097561,17.27,NA
ABW,2006,74.3761951219512,11.98,NA
ABW,2003,73.9685609756098,13.015,NA
ABW,1993,73.5053170731707,17.859,NA
ABW,2005,74.2280731707317,12.313,NA
ABW,2007,74.526756097561,11.661,NA
ABW,1996,73.5894390243902,16.135,NA
ABW,2004,74.0908536585366,12.657,NA
ABW,2008,74.6757317073171,11.36,NA
ABW,1998,73.6422926829268,15.099,NA
ABW,1999,73.6753902439025,14.627,NA
ABW,2002,73.865243902439,13.387,NA
ABW,1991,73.4331219512195,19.021,NA
ABW,2001,73.7829024390244,13.776,NA
ABW,2013,75.3286585365854,10.244,NA
ABW,1995,73.5636097560976,16.692,NA
ABW,2010,74.9535365853659,10.823,NA
ABW,2000,73.7206097560976,14.187,NA
ABW,2015,NA,NA,NA
ABW,2009,74.8181463414634,11.079,NA
ABW,1997,73.6148048780488,15.603,NA
ABW,2012,75.205756097561,10.403,NA
ABW,2014,75.4510975609756,10.124,NA
ABW,2011,75.0813902439024,10.597,NA
AZE,1999,66.3554878048781,14.7,34.7
AZE,1997,65.4623902439024,16.8,36.6
AZE,2009,70.2936829268293,17,22.5
AZE,2013,70.6905853658537,18.3,19.7
AZE,1996,64.994,16.6,37.1
AZE,1998,65.9233658536585,15.7,35.8
AZE,2010,70.4513170731707,18.3,21.7
AZE,2008,70.0639512195122,17.4,23.4
AZE,2014,70.763219512195107,17.9,18.9
AZE,1995,64.5758292682927,18.9,37.4
AZE,2000,66.758243902439,14.5,33.4
AZE,2007,69.756512195122,17.7,24.4
AZE,2006,69.375243902439,17.6,25.4
AZE,1994,64.2815853658537,21.4,37.3
AZE,2011,70.5518048780488,19.2,21
AZE,2015,NA,NA,18.2
